organization_id, org_name, site_id, site_name, latitude, longitude, elevation, measured_on, soil phs:userid,soil phs:horizon number,soil phs:horizon top depth (cm),soil phs:horizon bottom depth (cm),soil phs:reference depth level 5cm,soil phs:reference depth level 10cm,soil phs:reference depth level 30cm,soil phs:reference depth level 50cm,soil phs:reference depth level 60cm,soil phs:reference depth level 90cm,soil phs:collected on,soil phs:ph,soil phs:ph method,soil phs:comments,soil phs:globe teams
The GLOBE ID assigned to the school or organization,The name of the reporting school or other institution,The GLOBE ID assigned to the site,The name assigned to the site where the data were collected; the name is selected by the reporting person as part of site definition,The latitude of the site where data were observed in decimal degrees,The longitude of the site where date were observed in decimal degrees,The elevation of the site where data were observed in meters,The date only of when the data were observed in Coordinated Universal Time (UTC),,Horizon number of the soil characterization measurements,Soil horizon top depth in centimeters,Soil horizon bottom depth in centimeters,Number of the soil horizon at 5 cm depth,Number of the soil horizon at 10 cm depth,Number of the soil horizon at 30 cm depth,Number of the soil horizon at 50 cm depth,Number of the soil horizon at 60 cm depth,Number of the soil horizon at 90 cm depth,Date sample was collected for measurement of soil pH,pH of the soil horizon,"Method used to measure soil pH: paper, pen, or meter",Comments on the soil pH measurement,
233220,Al-Farouq Intermediate School at Jeddah,35498,school shelter:SCS-02,21.5546,39.1843,16,3/7/2016,2879814,1,0,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-03-07T00:00:00,7.1,meter,,
233220,Al-Farouq Intermediate School at Jeddah,35498,school shelter:SCS-02,21.5546,39.1843,16,3/7/2016,2879814,2,7,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2016-03-07T00:00:00,6.9,meter,,
233220,Al-Farouq Intermediate School at Jeddah,35498,school shelter:SCS-02,21.5546,39.1843,16,3/7/2016,2879814,3,12,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-03-07T00:00:00,7.2,paper,,
233220,Al-Farouq Intermediate School at Jeddah,35498,school shelter:SCS-02,21.5546,39.1843,16,3/7/2016,2879814,4,15,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-03-07T00:00:00,6.8,paper,,
233220,Al-Farouq Intermediate School at Jeddah,35498,school shelter:SCS-02,21.5546,39.1843,16,3/7/2016,2879814,5,20,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-03-07T00:00:00,7.4,meter,,
233220,Al-Farouq Intermediate School at Jeddah,35498,school shelter:SCS-02,21.5546,39.1843,16,3/7/2016,2879814,6,23,30,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2016-03-07T00:00:00,7.3,meter,,
233220,Al-Farouq Intermediate School at Jeddah,35498,school shelter:SCS-02,21.5546,39.1843,16,3/7/2016,2879814,7,30,50,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2016-03-07T00:00:00,7.5,meter,,
233220,Al-Farouq Intermediate School at Jeddah,36397,Soil16-Heraa,21.611502,39.138221,7.1,6/1/2016,2879814,1,0,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-06-01T00:00:00,6.8,meter,,
233220,Al-Farouq Intermediate School at Jeddah,36397,Soil16-Heraa,21.611502,39.138221,7.1,6/1/2016,2879814,2,5,11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2016-06-01T00:00:00,7,meter,,
233220,Al-Farouq Intermediate School at Jeddah,36397,Soil16-Heraa,21.611502,39.138221,7.1,6/1/2016,2879814,3,11,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-06-01T00:00:00,7.2,meter,,
233220,Al-Farouq Intermediate School at Jeddah,36397,Soil16-Heraa,21.611502,39.138221,7.1,6/1/2016,2879814,4,16,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-06-01T00:00:00,7.1,meter,,
233220,Al-Farouq Intermediate School at Jeddah,36397,Soil16-Heraa,21.611502,39.138221,7.1,6/1/2016,2879814,5,21,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-06-01T00:00:00,7.3,meter,,
233220,Al-Farouq Intermediate School at Jeddah,36397,Soil16-Heraa,21.611502,39.138221,7.1,6/1/2016,2879814,6,26,33,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2016-06-01T00:00:00,7.3,meter,,
233220,Al-Farouq Intermediate School at Jeddah,40046,Soil16-Tahlia End1,21.5473,39.130698,3,8/1/2016,2879814,2,4,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-08-01T00:00:00,6.9,meter,,
233220,Al-Farouq Intermediate School at Jeddah,40046,Soil16-Tahlia End1,21.5473,39.130698,3,8/1/2016,2879814,3,9,13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2016-08-01T00:00:00,7.2,meter,,
233220,Al-Farouq Intermediate School at Jeddah,40046,Soil16-Tahlia End1,21.5473,39.130698,3,8/1/2016,2879814,4,13,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-08-01T00:00:00,7,meter,,
233220,Al-Farouq Intermediate School at Jeddah,40046,Soil16-Tahlia End1,21.5473,39.130698,3,8/1/2016,2879814,5,17,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-08-01T00:00:00,6.8,paper,,
