 site_name, latitude, longitude,soil phs:ph
Alsedeeq Secondary School Soil 3,18.14433,42.16352,6
Alsedeeq Secondary School Soil 4,18.14469,42.16366,6
Alsedeeq Secondary School Soil 4,18.14469,42.16366,6
Alsedeeq Secondary School Soil 5,18.1443,42.16311,6
Alsedeeq Secondary School Soil 5,18.1443,42.16311,6
Alsedeeq Secondary School Soil 6,18.14641,42.16388,6
Alsedeeq Secondary School Soil 6,18.14641,42.16388,6
Alsedeeq Secondary School Soil 6,18.14641,42.16388,6
Alsedeeq Secondary School Soil 7,18.14559,42.16451,6
Alsedeeq Secondary School Soil 7,18.14559,42.16451,6
Alsedeeq Secondary School Soil 8,18.14628,42.16393,6
Alsedeeq Secondary School Soil 8,18.14628,42.16393,6
Alsedeeq Secondary School Soil 9,18.14773,42.16284,6
Alsedeeq Secondary School Soil 9,18.14773,42.16284,6
ATMOSPHERIC SITE/SOIL MOISTURE SITE:SCS-01,33.765,-84.2633,5.5
ATMOSPHERIC SITE/SOIL MOISTURE SITE:SCS-01,33.765,-84.2633,6.8
SOIL A./ SOIL B AND ETC:SCS-04,33.7595,-84.2687,6.8
Termite habitats in Thonburi,13.701667,100.481353,5.7
บริเวณหลุมเผาขยะของหมู่บ้านละอูบ,18.35027,98.054561,5.4
mangrove cultivation,7.3073,99.4197,6.5
mangrove cultivation,7.3073,99.4197,6.7
โรงเรียนบ้านม่วงวิทยา,17.3407,104.28043,6
Area 1,17.593217,101.819561,5.5
Area 2,17.592638,101.818786,6.5
ฺBan Thasongkwae School 4,18.33372,97.91775,8
K_Pit:SCS-02,14.4813,99.4432,7.5
K_Pit:SCS-02,14.4813,99.4432,7.5
K_Pit:SCS-02,14.4813,99.4432,6
K_Pit:SCS-02,14.4813,99.4432,6
K_Pit:SCS-02,14.4813,99.4432,6
Barkley Bridge 5:SCS-01,34.41877,-86.95025,7.8
Agricultural Area-(Site 3),14.722118,121.121806,6.9
Agricultural Area-(Site 3),14.722118,121.121806,7.2
Agricultural Area-(Site 3),14.722118,121.121806,7.2
Agricultural Area-(Site 3),14.722118,121.121806,7.1
Bare Area-(Site 1),14.722047,121.121138,7.2
Bare Area-(Site 1),14.722047,121.121138,7.8
Bare Area-(Site 1),14.722047,121.121138,8
Bare Area-(Site 1),14.722047,121.121138,7
Excavated Area- Side of the Road (Sample for Soil Characterization),14.7221,121.1215,6.6
Excavated Area- Side of the Road (Sample for Soil Characterization),14.7221,121.1215,7.2
Excavated Area- Side of the Road (Sample for Soil Characterization),14.7221,121.1215,7.4
Excavated Area- Side of the Road (Sample for Soil Characterization),14.7221,121.1215,7.6
Grassy Area-(Site 2),14.722112,121.121611,7.3
Grassy Area-(Site 2),14.722112,121.121611,7.9
Grassy Area-(Site 2),14.722112,121.121611,7.7
Grassy Area-(Site 2),14.722112,121.121611,7.8
Batat Intermediate Girls School:SCS-01,19.6755,41.5408,8.4
ارض زراعية بجوار المدرسة,19.765835,41.541103,8.4
GUNSTOCK SKI soil fertility:SCS-02,43.5468,-71.3672,4.1
GUNSTOCK SKI soil fertility:SCS-02,43.5468,-71.3672,4.3
GUNSTOCK SKI soil fertility:SCS-02,43.5468,-71.3672,4
GUNSTOCK SKI soil fertility:SCS-02,43.5468,-71.3672,4.9
อ่าวทองคำ1,8.610839,99.970482,7.7
อ่าวทองคำ2,8.610641,99.970301,8
Eastside Prairie 1:SCS-02,38.4849,-94.383,7.2
Broadway Bridge:SCS-03,45.9932,-123.914,6.1
Broadway Bridge:SCS-03,45.9932,-123.914,6.8
Broadway Bridge:SCS-03,45.9932,-123.914,6.4
Broadway Park:SCS-02,45.9942,-123.9155,5.7
Broadway Park:SCS-02,45.9942,-123.9155,5.7
Broadway Park:SCS-02,45.9942,-123.9155,5.7
Soil,13.281823,100.924244,7.9
Burlington Institute of Technology (Medford):SCS-03,39.9008,-74.8239,6
Study Site 1:SCS-01,39.9008,-74.8239,6
B1red gate left EPT:SCS-06,43.1616,-73.072,7.3
B1red gate left EPT:SCS-06,43.1616,-73.072,7.8
B1red gate left EPT:SCS-06,43.1616,-73.072,7.5
B2 red gate right EPT:SCS-05,43.1616,-73.072,7.2
B2 red gate right EPT:SCS-05,43.1616,-73.072,7.3
